Column1,Column2
Body,Bədən
Head,Baş
Face,Üz
Eye,Göz
Ear,Qulaq
Nose,Burun
Mouth,Ağız
Tooth,Diş
Hand,Əl
Arm,Qol
Leg,Ayaq
Foot,Pəncə
Heart,Ürək
Blood,Qan
Mind,Ağıl
Soul,Ruh
Life,Həyat
Death,Ölüm
Birth,Doğum
Family,Ailə
Mother,Ana
Father,Ata
Brother,Qardaş
Sister,Bacı
Son,Oğul
Daughter,Qız (övlad)
Friend,Dost
Teacher,Müəllim
Student,Tələbə
Doctor,Həkim
Nurse,Tibb bacısı
Engineer,Mühəndis
Driver,Sürücü
Police,Polis
Soldier,Əsgər
King,Kral
Queen,Məlikə
People,İnsanlar
Man,Kişi
Woman,Qadın
Child,Uşaq
Boy,Oğlan
Girl,Qız
School,Məktəb
University,Universitet
Class,Sinif
Lesson,Dərs
Knowledge,Bilik
Idea,İdeya
Dream,Arzu/Yuxu
History,Tarix
Art,İncəsənət
Music,Musiqi
Picture,Şəkil
Color,Rəng
Red,Qırmızı
Blue,Mavi
Green,Yaşıl
Yellow,Sarı
Black,Qara
White,Ağ
Orange,Narıncı
Purple,Bənövşəyi
Pink,Çəhrayı
Grey,Boz
Brown,Qəhvəyi
Animal,Heyvan
Dog,İt
Cat,Pişik
Bird,Quş
Fish,Balıq
Horse,At
Lion,Aslan
Elephant,Fil
Snake,İlan
Insect,Həşərat
Fly,Milçək
Bee,Arı
Spider,Hörümçək
Tree,Ağaç
Flower,Gül
Grass,Ot
Leaf,Yarpaq
Forest,Meşə
Mountain,Dağ
River,Çay (su)
Sea,Dəniz
Ocean,Okean
Lake,Göl
Beach,Çimərlik
Island,Ada
Desert,Səhra
Stone,Daş
Iron,Dəmir
Gold,Qızıl
Silver,Gümüş
Wood,Odun/Taxta
Glass,Şüşə
Plastic,Plastik
Fabric,Parça
Space,Kosmos
Science,Elm
Nature,Təbiət
Health,Sağlamlıq
Peace,Sülh
War,Müharibə
Power,Güc
Love,Sevgi
Hate,Nifrət
Fear,Qorxu
Hope,Ümid
Pain,Ağrı
Pleasure,Həzz
Success,Uğur
Failure,Uğursuzluq
Victory,Qələbə
Loss,İtki
Choice,Seçim
Voice,Səs (insan)
Sound,Səs
Language,Dil
Word,Söz
Sentence,Cümlə
Question,Sual
Answer,Cavab
Problem,Problem
Solution,Həll
Meeting,Görüş
Journey,Səyahət
Trip,Səfər
Plane,Təyyarə
Train,Qatar
Car,Maşın
Ship,Gəmi
Bicycle,Velosiped
Road,Yol
Map,Xəritə
Bridge,Körpü
Light,İşıq
Dark,Qaranlıq
Shadow,Kölgə
Weather,Hava (iqlim)
Cloud,Bulud
Storm,Fırtına
Sky,Səma
Health,Sağlamlıq
Medicine,Dərman
Hospital,Xəstəxana
Law,Qanun
Police,Polis
Justice,Ədalət
Freedom,Azadlıq
Duty,Vəzifə
Right,Hüquq
Goal,Məqsəd
Gift,Hədiyyə
Skill,Bacarıq
Ability,Qabiliyyət
Action,Hərəkət
Fact,Fakt
Truth,Həqiqət
Lie,Yalan
Taste,Dad
Smell,İy
Touch,Toxunma
Sight,Görmə
Hearing,Eşitmə
Memory,Yaddaş
Experience,Təcrübə
Accident,Qəza
Mistake,Səhv
Danger,Təhlükə
Safety,Təhlükəsizlik
Middle,Orta
Side,Tərəf
Top,Zirvə
Bottom,Dib
Front,Ön
Back,Arxa
Left,Sol
Center,Mərkəz
Part,Hissə
Whole,Bütün
Half,Yarım
Quarter,Rüb
Number,Rəqəm
Square,Kvadrat
Circle,Dairə
Line,Xətt
Point,Nöqtə
Space,Boşluq
Reason,Səbəb
Result,Nəticə
Change,Dəyişiklik
Growth,Böyümə
Development,İnkişaf
Movement,Hərəkət
Rest,İstirahət
Sleep,Yuxu
Work,İş
Play,Oyun
Sport,İdman
Game,Oyun
Movie,Film
Story,Hekayə
News,Xəbərlər
Paper,Qəzet
Advert,Reklam
Message,Mesaj
Signal,Siqnal
Noise,Səs-küy
Silence,Sükut
Beauty,Gözəllik
Kindness,Mehirbanlıq
Honesty,Dürüstlük
Bravery,Cəsarət
Wisdom,Müdriklik
Luck,Şans
Fate,Tale
Believe,İnanmaq
Think,Düşünmək
Know,Bilmək
Understand,Anlamaq
Remember,Xatırlamaq
Forget,Unutmaq
Learn,Öyrənmək
Teach,Öyrətmək
Read,Oxumaq
Write,Yazmaq
Speak,Danışmaq
Listen,Qulaq asmaq
Hear,Eşitmək
See,Görmək
Look,Baxmaq
Watch,İzləmək
Feel,Hiss etmək
Touch,Toxunmaq
Eat,Yemək
Drink,İçmək
Sleep,Yatmaq
Wake,Oyanmaq
Walk,Gəzmək
Run,Qaçmaq
Jump,Tullanmaq
Swim,Üzmək
Fly,Uçmaq
Drive,Sürmək
Ride,Minmək
Sit,Oturmaq
Stand,Dayanmaq
Wait,Gözləmək
Call,Zəng etmək
Send,Göndərmək
Receive,Almaq (qəbul etmək)
Buy,Almaq (satın)
Sell,Satmaq
Give,Vermək
Take,Götürmək
Bring,Gətirmək
Carry,Daşımaq
Push,İtmək
Pull,Çəkmək
Open,Açmaq
Close,Bağlamaq
Start,Başlamaq
Stop,Dayanmaq
Finish,Bitirmək
Work,İşləmək
Help,Kömək etmək
Love,Sevmək
Hate,Nifrət etmək
Like,Bəyənmək
Want,İstəmək
Need,Ehtiyacı olmaq
Use,İstifadə etmək
Make,Düzəltmək
Do,Etmək
Go,Getmək
Come,Gəlmək
Stay,Qalmaq
Leave,Tərk etmək
Find,Tapmaq
Lose,İtirmək
Win,Qazanmaq
Try,Cəhd etmək
Hope,Ümid etmək
Laugh,Gülmək
Cry,Ağlamaq
Smile,Gülümsəmək
Shout,Qışqırmaq
Sing,Oxumaq (mahnı)
Dance,Rəqs etmək
Cook,Bişirmək
Clean,Təmizləmək
Wash,Yumaq
Build,Tikmək
Break,Sındırmaq
Cut,Kəsmək
Fall,Yıxılmaq
Fix,Təmir etmək
Grow,Böyümək
Hold,Tutmaq
Keep,Saxlamaq
Meet,Görüşmək
Pay,Ödəmək
Promise,Söz vermək
Save,Qorumaq/Yadda saxlamaq
Search,Axtarmaq
Show,Göstərmək
Travel,Səyahət etmək
Visit,Ziyarət etmək
Wait,Gözləmək
Worry,Narahat olmaq
Argue,Mübahisə etmək
Agree,Razılaşmaq
Allow,İcazə vermək
Choose,Seçmək
Decide,Qərar vermək
Explain,İzah etmək
Imagine,Təsəvvür etmək
Introduce,Təqdim etmək
Join,Qoşulmaq
Manage,İdarə etmək
Offer,Təklif etmək
Prepare,Hazırlaşmaq
Protect,Qorumaq
Refuse,İmtina etmək
Relax,İstirahət etmək
Repeat,Təkrar etmək
Share,Paylaşmaq
Support,Dəstəkləmək
Trust,İnanmaq
Wear,Geyinmək
Advice,Məsləhət
Attention,Diqqət
Chance,Şans
Comfort,Rahatlıq
Control,Nəzarət
Degree,Dərəcə
Detail,Detal
Direction,İstiqamət
Distance,Məsafə
Effect,Təsir
Effort,Səy
Energy,Enerji
Environment,Ətraf mühit
Example,Nümunə
Experience,Təcrübə
Future,Gələcək
Group,Qrup
History,Tarix
Information,Məlumat
Level,Səviyyə
List,Siyahı
Material,Material
Method,Metod
Moment,An
Object,Obyekt
Order,Sifariş/Qayda
Period,Dövr
Point,Nöqtə
Position,Mövqe
Possibility,İmkan
Power,Güc
Practice,Təcrübə
Pressure,Təzyiq
Price,Qiymət
Process,Proses
Product,Məhsul
Project,Layihə
Quality,Keyfiyyət
Range,Diapazon
Rate,Dərəcə/Nisbət
Report,Hesabat
Resource,Resurs
Role,Rol
Rule,Qayda
Section,Bölmə
Sense,Hiss
Series,Seriya
Service,Xidmət
Society,Cəmiyyət
Space,Məkan
Stage,Mərhələ
Standard,Standart
State,Vəziyyət/Dövlət
System,Sistem
Task,Tapşırıq
Term,Termin
Theory,Nəzəriyyə
Total,Ümumi
Value,Dəyər
Variety,Müxtəliflik
View,Görünüş
Way,Yol/Üsul
Area,Sahə
Body,Bədən
Brain,Beyin
Career,Karyera
Case,Hadisə/Vəziyyət
Cause,Səbəb
Century,Əsr
Company,Şirkət
Condition,Şərait
Cost,Qiymət/Dəyər
Couple,Cütlük
Course,Kurs
Court,Məhkəmə
Culture,Mədəniyyət
Death,Ölüm
Decision,Qərar
Development,İnkişaf
Difference,Fərq
Director,Direktor
Education,Təhsil
Event,Hadisə
Evidence,Sübut
Example,Nümunə
Executive,Rəhbər
Family,Ailə
Fear,Qorxu
Field,Sahə
Figure,Rəqəm/Siluet
Film,Film
Final,Final
Force,Qüvvə
Garden,Bağ
General,General/Ümumi
Ground,Torpaq
Growth,Artım
Health,Sağlamlıq
Heart,Ürək
History,Tarix
Hospital,Xəstəxana
Hotel,Mehmanxana
House,Ev
Image,Təsvir
Industry,Sənaye
Interest,Maraq
Interview,Müsahibə
Issue,Məsələ
Kitchen,Mətbəx
Knowledge,Bilik
Land,Torpaq
Language,Dil
Law,Qanun
Leader,Lider
Level,Səviyyə
Life,Həyat
Light,İşıq
Line,Xətt
List,Siyahı
Loss,İtki
Love,Sevgi
Main,Əsas
Major,Vacib/Böyük
Management,İdarəetmə
Market,Bazar
Matter,Məsələ
Meeting,Görüş
Member,Üzv
Memory,Yaddaş
Message,Mesaj
Method,Metod
Million,Milyon
Mind,Ağıl
Minute,Dəqiqə
Model,Model
Modern,Müasir
Moment,An
Money,Pul
Month,Ay
Morning,Səhər
Most,Əksər
Mother,Ana
Mouth,Ağız
Movement,Hərəkət
Movie,Film
Music,Musiqi
Name,Ad
Nation,Millət
Nature,Təbiət
Near,Yaxın
Network,Şəbəkə
New,Yeni
News,Xəbərlər
Night,Gecə
North,Şimal
Note,Qeyd
Nothing,Heç nə
Number,Nömrə
Office,Ofis
Officer,Zabit
Operation,Əməliyyat
Option,Seçim
Order,Sifariş
Other,Başqa
Owner,Sahib
Page,Səhifə
Pain,Ağrı
Paper,Kağız
Part,Hissə
Partner,Tərəfdaş
Party,Partiya/Şənlik
Patient,Xəstə/Səbirli
Peace,Sülh
People,İnsanlar
Period,Dövr
Person,Şəxs
Phone,Telefon
Physical,Fiziki
Picture,Şəkil
Piece,Tikə/Hissə
Place,Yer
Plan,Plan
Plant,Bitki/Zavod
Play,Oyun
Point,Nöqtə
Police,Polis
Policy,Siyasət
Port,Liman
Position,Mövqe
Power,Güc
President,Prezident
Pressure,Təzyiq
Price,Qiymət
Problem,Problem
Process,Proses
Product,Məhsul
Program,Proqram
Project,Layihə
Property,Mülkiyyət
Public,İctimai
Quality,Keyfiyyət
Question,Sual
Radio,Radio
Range,Sıra
Rate,Dərəcə
Reason,Səbəb
Record,Rekord/Qeyd
Region,Region
Report,Hesabat
Research,Tədqiqat
Result,Nəticə
Road,Yol
Rock,Qaya
Role,Rol
Room,Otaq
Rule,Qayda
Safety,Təhlükəsizlik
School,Məktəb
Science,Elm
Season,Fəsil
Seat,Oturacaq
Second,Saniyə
Section,Bölmə
Series,Seriya
Service,Xidmət
Side,Tərəf
Sign,İşarə
Site,Sayt/Məkan
Size,Ölçü
Skill,Bacarıq
Social,Sosial
Society,Cəmiyyət
Something,Nəsə
Space,Boşluq
Staff,Heyət
Stage,Mərhələ
Standard,Standart
Star,Ulduz
Start,Başlanğıc
State,Dövlət
Station,Stansiya
Strategy,Strategiya
Street,Küçə
Student,Tələbə
Study,Təhsil/Araşdırma
Subject,Mövzu/Fənn
Success,Uğur
Summer,Yay
Support,Dəstək
System,Sistem
Table,Cədvəl/Masa
Task,Tapşırıq
Teacher,Müəllim
Team,Komanda
Technology,Texnologiya
Term,Müddət/Termin
Test,Sınaq
Theory,Nəzəriyyə
Thing,Şey
Thought,Fikir
Time,Vaxt
Total,Ümumi
Town,Qəsəbə
Trade,Ticarət
Training,Təlim
Type,Növ
Unit,Vahid
Union,İttifaq
Value,Dəyər
Video,Video
View,Baxış
Voice,Səs
War,Müharibə
Water,Su
Way,Yol
Week,Həftə
Weight,Çəki
West,Qərb
Whole,Bütün
Window,Pəncərə
Woman,Qadın
Word,Söz
Work,İş
Worker,İşçi
World,Dünya
Writer,Yazıçı
Year,İl
